Datetime,Time,Temp,Rain(mm),Gust(km/hr),Rain%,IsHoliday,Load (MW)
1900-07-07 09:00:00,9:00,31.0,0.2,9.0,100.0,1,3983.84
1900-07-07 12:00:00,12:00,33.0,0.0,10.0,45.0,1,4877.6
1900-07-07 15:00:00,15:00,32.0,0.0,17.0,45.0,1,5278.73
1900-07-07 21:00:00,21:00,32.0,0.0,10.0,45.0,1,4973.65
1900-07-11 09:00:00,9:00,43.0,0.0,12.0,0.0,0,4983.46
1900-07-11 12:00:00,12:00,46.0,0.0,17.0,0.0,0,6291.72
1900-07-11 15:00:00,15:00,44.0,0.6,12.0,100.0,0,7288.95
1900-07-11 21:00:00,21:00,40.0,0.0,10.0,45.0,0,6757.17
1900-07-12 09:00:00,9:00,43.0,0.0,17.0,72.0,0,4946.46
1900-07-12 12:00:00,12:00,46.0,0.0,16.0,45.0,0,5963.98
1900-07-12 15:00:00,15:00,44.0,0.6,12.0,100.0,0,6508.66
1900-07-12 21:00:00,21:00,41.0,0.2,10.0,100.0,0,5946.46
1900-07-13 09:00:00,9:00,37.0,0.0,9.0,0.0,0,4457.53
1900-07-13 12:00:00,12:00,40.0,0.0,11.0,0.0,0,5655.01
1900-07-13 15:00:00,15:00,42.0,0.0,14.0,0.0,0,5738.46
1900-07-13 21:00:00,21:00,41.0,0.0,5.0,0.0,0,5658.41
1900-07-14 09:00:00,9:00,40.0,0.0,11.0,0.0,1,4459.6
1900-07-14 12:00:00,12:00,43.0,0.0,10.0,0.0,1,5458.62
1900-07-14 15:00:00,15:00,44.0,0.0,8.0,0.0,1,6018.1
1900-07-14 21:00:00,21:00,42.0,0.0,4.0,0.0,1,6049.6
1900-07-15 09:00:00,9:00,43.0,0.0,14.0,0.0,0,5058.06
1900-07-15 12:00:00,12:00,45.0,0.2,12.0,100.0,0,5663.49
1900-07-15 15:00:00,15:00,45.0,0.0,14.0,0.0,0,6820.37
1900-07-15 21:00:00,21:00,42.0,0.0,14.0,0.0,0,6288.39
1900-07-16 09:00:00,9:00,43.0,0.0,15.0,0.0,0,5318.23
